restaurant,Food_Items,food_category,food_sub_category
Mcdonalds,Artisan Grilled Chicken Sandwich,Main,"Chicken, Other"
Mcdonalds,Single Bacon Smokehouse Burger,Main,Other
Mcdonalds,Double Bacon Smokehouse Burger,Main,Other
Mcdonalds,Grilled Bacon Smokehouse Chicken Sandwich,Main,"Chicken, Other"
Mcdonalds,Crispy Bacon Smokehouse Chicken Sandwich,Main,"Chicken, Other"
Mcdonalds,Big Mac,Other,Other
Mcdonalds,Cheeseburger,Main,Other
Mcdonalds,Classic Chicken Sandwich,Main,"Chicken, Other"
Mcdonalds,Double Cheeseburger,Main,Other
Mcdonalds,Double Quarter Pounder® with Cheese,Other,Other
Mcdonalds,Filet-O-Fish®,Other,Other
Mcdonalds,Garlic White Cheddar Burger,Main,Other
Mcdonalds,Grilled Garlic White Cheddar Chicken Sandwich,Main,"Chicken, Other"
Mcdonalds,Crispy Garlic White Cheddar Chicken Sandwich,Main,"Chicken, Other"
Mcdonalds,Hamburger,Main,Other
Mcdonalds,Lobster Roll,Other,Other
Mcdonalds,Maple Bacon Dijon 1/4 lb Burger,Main,Other
Mcdonalds,Grilled Maple Bacon Dijon Chicken Sandwich,Main,"Chicken, Other"
Mcdonalds,Crispy Maple Bacon Dijon Chicken Sandwich,Main,"Chicken, Other"
Mcdonalds,McChicken,Other,Other
Mcdonalds,McDouble,Other,Other
Mcdonalds,McRib,Other,Other
Mcdonalds,Pico Guacamole 1/4 lb Burger,Main,Other
Mcdonalds,Grilled Pico Guacamole Chicken Sandwich,Main,"Chicken, Other"
Mcdonalds,Crispy Pico Guacamole Chicken Sandwich,Main,"Chicken, Other"
Mcdonalds,Premium Buttermilk Crispy Chicken Deluxe Sandwich,Main,"Chicken, Other"
Mcdonalds,Premium Crispy Chicken Deluxe Sandwich,Main,"Chicken, Other"
Mcdonalds,Quarter Pounder® with Cheese,Other,Other
Mcdonalds,Signature Sriracha Burger,Main,Other
Mcdonalds,Grilled Signature Sriracha Chicken Sandwich,Main,"Chicken, Other"
Mcdonalds,Crispy Signature Sriracha Chicken Sandwich,Main,"Chicken, Other"
Mcdonalds,Sweet BBQ Bacon 1/4 lb Burger,Main,Other
Mcdonalds,Grilled Sweet BBQ Bacon Chicken Sandwich,Main,"Chicken, Other"
Mcdonalds,Crispy Sweet BBQ Bacon Chicken Sandwich,Main,"Chicken, Other"
Mcdonalds,3 piece Buttermilk Crispy Chicken Tenders,Main,"Chicken, Other"
Mcdonalds,4 piece Buttermilk Crispy Chicken Tenders,Main,"Chicken, Other"
Mcdonalds,6 piece Buttermilk Crispy Chicken Tenders,Main,"Chicken, Other"
Mcdonalds,10 piece Buttermilk Crispy Chicken Tenders,Main,"Chicken, Other"
Mcdonalds,12 piece Buttermilk Crispy Chicken Tenders,Main,"Chicken, Other"
Mcdonalds,20 piece Buttermilk Crispy Chicken Tenders,Main,"Chicken, Other"
Mcdonalds,4 Piece Chicken McNuggets,Other,Other
Mcdonalds,6 Piece Chicken McNuggets,Other,Other
Mcdonalds,10 Piece Chicken McNuggets,Other,Other
Mcdonalds,20 Piece Chicken McNuggets,Other,Other
Mcdonalds,40 piece Chicken McNuggets,Other,Other
Mcdonalds,4 piece Sweet N' Spicy Honey BBQ Glazed Tenders,Main,Other
Mcdonalds,6 piece Sweet N' Spicy Honey BBQ Glazed Tenders,Main,Other
Mcdonalds,10 piece Sweet N' Spicy Honey BBQ Glazed Tenders,Main,Other
Mcdonalds,Premium Asian Salad w/o Chicken,Side,Other
Mcdonalds,Premium Asian Salad w/ Grilled Chicken,Side,Other
Mcdonalds,Premium Asian Salad w/ Crispy Chicken,Side,Other
Mcdonalds,Premium Bacon Ranch Salad w/o Chicken,Side,Other
Mcdonalds,Premium Bacon Ranch Salad w/ Grilled Chicken,Side,Other
Mcdonalds,Premium Bacon Ranch Salad w/ Crispy Chicken,Side,Other
Mcdonalds,Premium Southwest Salad w/o Chicken,Side,Other
Mcdonalds,Premium Southwest Salad w/ Grilled Chicken,Side,Other
Mcdonalds,Premium Southwest Salad w/ Crispy Chicken,Side,Other
Chick Fil-A,Chargrilled Chicken Club Sandwich,Main,"Chicken, Other"
Chick Fil-A,Chargrilled Chicken Sandwich,Main,"Chicken, Other"
Chick Fil-A,Chick-n-Slider,Other,Other
Chick Fil-A,1 Piece Chick-n-Strips,Other,Other
Chick Fil-A,2 Piece Chick-n-Strips,Other,Other
Chick Fil-A,3 Piece Chick-n-Strips,Other,Other
Chick Fil-A,4 piece Chick-n-Strips,Other,Other
Chick Fil-A,Chicken Deluxe,Other,Other
Chick Fil-A,4 piece Chicken Nuggets,Other,Other
Chick Fil-A,6 piece Chicken Nuggets,Other,Other
Chick Fil-A,8 piece Chicken Nuggets,Other,Other
Chick Fil-A,12 piece Chicken Nuggets,Other,Other
Chick Fil-A,30 piece Chicken Nuggets,Other,Other
Chick Fil-A,Chicken Salad Sandwich,Main,"Chicken, Other"
Chick Fil-A,Chicken Sandwich,Main,"Chicken, Other"
Chick Fil-A,4 Piece Grilled Chicken Nuggets,Other,Other
Chick Fil-A,6 Piece Grilled Chicken Nuggets,Other,Other
Chick Fil-A,8 piece Grilled Chicken Nuggets,Other,Other
Chick Fil-A,12 Piece Grilled Chicken Nuggets,Other,Other
Chick Fil-A,Spicy Grilled Chicken Sub Sandwich,Main,"Chicken, Other"
Chick Fil-A,Regular Grilled Chicken Sub Sandwich,Main,"Chicken, Other"
Chick Fil-A,Smokehouse BBQ Bacon Sandwich,Main,Other
Chick Fil-A,Spicy Chicken Sandwich,Main,"Chicken, Other"
Chick Fil-A,Spicy Deluxe,Other,Other
Chick Fil-A,Chargrilled Chicken Cool Wrap,Other,Other
Chick Fil-A,Chicken Enchiladas Meal Kit,Other,Other
Chick Fil-A,Chicken Parmesan Meal Kit,Other,Other
Sonic,Hatch Green Chile Cheeseburger,Main,Other
Sonic,Jalapeno Burger,Main,Other
Sonic,Jr. Burger,Main,Other
Sonic,Jr. Chili Cheeseburger,Main,Other
Sonic,Jr. Deluxe Burger,Main,Other
Sonic,Jr. Deluxe Cheeseburger,Main,Other
Sonic,Jr. Double Cheeseburger,Main,Other
Sonic,Sonic Bacon Cheeseburger (w/mayo),Main,Other
Sonic,Sonic Burger W/ Mustard,Main,Other
Sonic,Sonic Burger W/ Ketchup,Main,Other
Sonic,Sonic Burger W/ Mayonnaise,Main,Other
Sonic,Sonic Cheeseburger W/ Mustard,Main,Other
Sonic,Sonic Cheeseburger W/ Ketchup,Main,Other
Sonic,Sonic Cheeseburger W/ Mayonnaise,Main,Other
Sonic,Super Sonic Bacon Double Cheeseburger (w/mayo),Main,Other
Sonic,Super Sonic Double Cheeseburger W/ Mustard,Main,Other
Sonic,Super Sonic Double Cheeseburger W/ Ketchup,Main,Other
Sonic,Super Sonic Double Cheeseburger W/ Mayo,Main,Other
Sonic,Super Sonic Jalapeno Double Cheeseburger,Main,Other
Sonic,Veggie Burger W/ Ketchup,Main,Other
Sonic,Veggie Burger With Mustard,Main,Other
Sonic,Veggie Burger W/ Mustard,Main,Other
Sonic,Grilled Asiago Caesar Chicken Club Sandwich,Main,"Chicken, Other"
Sonic,Crispy Asiago Caesar Chicken Club Sandwich,Main,"Chicken, Other"
Sonic,Grilled Chicken Sandwich,Main,"Chicken, Other"
Sonic,Crispy Chicken Sandwich,Main,"Chicken, Other"
Sonic,Chicken Strip Sandwich,Main,"Chicken, Other"
Sonic,3 Piece Crispy Chicken Tender Dinner,Other,Other
Sonic,5 Piece Crispy Chicken Tender Dinner,Other,Other
Sonic,Deluxe Ultimate Chicken Sandwich,Main,"Chicken, Other"
Sonic,Buffalo Dunked Ultimate Chicken Sandwich,Main,"Chicken, Other"
Sonic,Garlic Parmesan Dunked Ultimate Chicken Sandwich,Main,"Chicken, Other"
Sonic,Small Jumbo Popcorn Chicken,Other,Other
Sonic,Large Jumbo Popcorn Chicken,Other,Other
Sonic,Small Spicy Jumbo Popcorn Chicken,Other,Other
Sonic,Large Spicy Jumbo Popcorn Chicken,Other,Other
Sonic,3 Piece Super Crunch Chicken Strip Dinner,Other,Other
Sonic,4 Piece Super Crunch Chicken Strip Dinner,Other,Other
Sonic,5 Piece Super Crunch Chicken Strip Dinner,Other,Other
Sonic,3 Piece Super Crunch Chicken Strips,Other,Other
Sonic,4 Piece Super Crunch Chicken Strips,Other,Other
Sonic,5 Piece Super Crunch Chicken Strips,Other,Other
Sonic,Traditional Ultimate Chicken Sandwich,Main,"Chicken, Other"
Sonic,Ultimate Chicken Club,Other,Other
Sonic,"All Beef All-american Style Dog – 6""",Main,"Beef, Other"
Sonic,"All Beef Chicago Dog – 6""",Main,"Beef, Other"
Sonic,"All Beef Chili Cheese Coney – 6""",Main,"Beef, Other"
Sonic,"All Beef New York Dog – 6""",Main,"Beef, Other"
Sonic,"All Beef Regular Hot Dog – 6""",Main,"Beef, Other"
Sonic,Cheesy Bacon Pretzel Dog - 6 In.,Other,Other
Sonic,Corn Dog,Other,Other
Sonic,Footlong Quarter Pound Coney,Other,Other
Sonic,The Original Pretzel Dog,Other,Other
Arbys,Arby's Melt,Other,Other
Arbys,Arby-Q Sandwich,Main,Other
Arbys,Beef 'n Cheddar Classic,Main,"Beef, Other"
Arbys,Beef 'n Cheddar Mid,Main,"Beef, Other"
Arbys,Bourbon BBQ Brisket Sandwich,Main,Other
Arbys,Bourbon BBQ Chicken Sandwich,Main,"Chicken, Other"
Arbys,Bourbon BBQ Steak Sandwich,Main,Other
Arbys,Buttermilk Buffalo Chicken Sandwich,Main,"Chicken, Other"
Arbys,Buttermilk Chicken Bacon & Swiss,Other,Other
Arbys,Buttermilk Chicken Cordon Bleu Sandwich,Main,"Chicken, Other"
Arbys,Buttermilk Crispy Chicken Sandwich,Main,"Chicken, Other"
Arbys,Classic French Dip & Swiss/Au Jus,Other,Other
Arbys,Classic Roast Beef,Main,"Beef, Other"
Arbys,Double Roast Beef,Main,"Beef, Other"
Arbys,Fire-Roasted Philly Steak,Other,Other
Arbys,Grand Turkey Club,Other,Other
Arbys,Greek Gyro,Other,Other
Arbys,Half Pound Beef 'n Cheddar Sandwich,Main,"Beef, Other"
Arbys,Half Pound French Dip & Swiss,Other,Other
Arbys,Half Pound Roast Beef Sandwich,Main,"Beef, Other"
Arbys,Ham & Swiss Melt,Other,Other
Arbys,Loaded Italian Sandwich,Main,Other
Arbys,Pecan Chicken Salad Flatbread,Side,Other
Arbys,Pecan Chicken Salad Sandwich,Main,"Chicken, Other"
Arbys,2 piece Prime-Cut Chicken Tenders,Main,"Chicken, Other"
Arbys,3 piece Prime-Cut Chicken Tenders,Main,"Chicken, Other"
Arbys,5 piece Prime-Cut Chicken Tenders,Main,"Chicken, Other"
Arbys,Reuben Sandwich,Main,Other
Arbys,Roast Beef Gyro,Main,"Beef, Other"
Arbys,Roast Turkey & Swiss Sandwich,Main,Other
Arbys,Roast Turkey & Swiss Wrap,Other,Other
Arbys,"Roast Turkey, Ranch & Bacon Sandwich",Main,Other
Arbys,"Roast Turkey, Ranch & Bacon Wrap",Other,Other
Arbys,Smoke Mountain w/ Beef Short Rib,Main,"Beef, Other"
Arbys,Smokehouse Beef Short Rib Sandwich,Main,"Beef, Other"
Arbys,Smokehouse Brisket,Other,Other
Arbys,Super Roast Beef,Main,"Beef, Other"
Arbys,Three Cheese Steak Sandwich,Main,Other
Arbys,Triple Decker Sandwich,Main,Other
Arbys,Turkey Avocado Club,Other,Other
Arbys,Turkey Gyro,Other,Other
Arbys,Ultimate BLT,Other,Other
Arbys,Buffalo Chicken Slider,Other,Other
Arbys,Chicken Tender 'n Cheese Slider,Other,Other
Arbys,Corned Beef 'n Cheese Slider,Main,"Beef, Other"
Arbys,Ham 'n Cheese Slider,Other,Other
Arbys,Jalapeno Roast Beef 'n Cheese Slider,Main,"Beef, Other"
Arbys,Pizza Slider,Other,Other
Arbys,Roast Beef 'n Cheese Slider,Main,"Beef, Other"
Arbys,Turkey 'n Cheese Slider,Other,Other
Arbys,Chopped Side Salad,Side,Other
Arbys,Crispy Chicken Farmhouse Salad,Side,Other
Arbys,Greek Gyro Salad,Side,Other
Arbys,Roast Turkey Farmhouse Salad,Side,Other
Arbys,Super Greek Salad,Side,Other
Burger King,American Brewhouse King,Other,Other
Burger King,Bacon & Swiss Sourdough King,Other,Other
Burger King,Bacon Cheeseburger,Main,Other
Burger King,Bacon Cheeseburger Deluxe,Main,Other
Burger King,Bacon King,Other,Other
Burger King,Bacon King Jr,Other,Other
Burger King,BBQ Bacon King,Other,Other
Burger King,Cheeseburger,Main,Other
Burger King,Double Bacon Cheeseburger,Main,Other
Burger King,Double Cheeseburger,Main,Other
Burger King,Double Hamburger,Main,Other
Burger King,Double Quarter Pound King,Other,Other
Burger King,Extra Long Cheeseburger,Main,Other
Burger King,Farmhouse King,Other,Other
Burger King,Hamburger,Main,Other
Burger King,Homestyle Cheeseburger,Main,Other
Burger King,Jalapeno King Sandwich,Main,Other
Burger King,Mushroom & Swiss King,Other,Other
Burger King,Rodeo Burger,Main,Other
Burger King,Rodeo King,Other,Other
Burger King,Sourdough King Single,Other,Other
Burger King,Sourdough King Double,Other,Other
Burger King,Steakhouse King,Other,Other
Burger King,Bacon & Cheese Whopper,Other,Other
Burger King,DOUBLE WHOPPER w/o Cheese,Other,Other
Burger King,DOUBLE WHOPPER w/ Cheese,Other,Other
Burger King,WHOPPER w/o Cheese,Other,Other
Burger King,WHOPPER w/ Cheese,Other,Other
Burger King,WHOPPER JR. w/o Cheese,Other,Other
Burger King,WHOPPER JR. w/ Cheese,Other,Other
Burger King,Bacon Cheddar Ranch Chicken Salad w/ grilled Chicken & Dressing,Side,Other
Burger King,Bacon Cheddar Ranch Chicken Salad w/ crispy Chicken & Dressing,Side,Other
Burger King,Chicken BLT Salad w/ Grilled Chicken,Side,Other
Burger King,Chicken BLT Salad w/ Crispy Chicken,Side,Other
Burger King,Chicken Caesar Salad w/ Grilled Chicken,Side,Other
Burger King,Chicken Caesar Salad w/ Crispy Chicken,Side,Other
Burger King,"Chicken, Apple & Cranberry Salad w/ Grilled Chicken",Side,Other
Burger King,"Chicken, Apple & Cranberry Salad w/ Crispy Chicken",Side,Other
Burger King,"Garden Grilled Chicken Salad w/ Grilled Chicken, no dressing",Side,Other
Burger King,"Garden Grilled Chicken Salad w/ Crispy Chicken, no dressing",Side,Other
Burger King,Side Caesar Salad with dressing,Side,Other
Burger King,Side Garden Salad and Avocado Ranch Dressing,Side,Other
Burger King,Bacon Cheddar Ranch Crispy Chicken Sandwich,Main,"Chicken, Other"
Burger King,BBQ Bacon Crispy Chicken Sandwich,Main,"Chicken, Other"
Burger King,Big Fish Sandwich,Main,Other
Burger King,BK VEGGIE Burger,Main,Other
Burger King,Chicken Burger,Main,"Chicken, Other"
Burger King,Chicken Cordon Bleu Sandwich,Main,"Chicken, Other"
Burger King,Chicken Fries,Side,Other
Burger King,4 Piece Chicken Nuggets,Other,Other
Burger King,6 Piece Chicken Nuggets,Other,Other
Burger King,20 Piece Chicken Nuggets,Other,Other
